A1BG-AS1__chr19	NR_015380__chr19__1
MEFV__chr16	NM_000243__chr16__1|NM_001198536__chr16__1
MEG3__chr14	NR_046473__chr14__1|NR_002766__chr14__1|NR_003530__chr14__1|NR_033358__chr14__1|NR_033359__chr14__1|NR_033360__chr14__1|NR_046464__chr14__1|NR_046465__chr14__1|NR_046466__chr14__1|NR_046467__chr14__1|NR_046468__chr14__1|NR_046469__chr14__1|NR_046470__chr14__1|NR_046471__chr14__1|NR_046472__chr14__1|NR_003531__chr14__1
MEG8__chr14	NR_024149__chr14__1
MEG9__chr14	NR_047664__chr14__1
MEGF10__chr5	NM_001308119__chr5__1|NM_001308121__chr5__1|NM_001256545__chr5__1|NM_032446__chr5__1
MEGF11__chr15	NM_032445__chr15__1
MEGF11__chr15_GL383555v2_alt	NM_032445__chr15_GL383555v2_alt__1
MEGF6__chr1	NM_001409__chr1__1
MEGF8__chr19	NM_001271938__chr19__1|NM_001410__chr19__1
MEGF9__chr9	NM_001080497__chr9__1
MEI1__chr22	NM_152513__chr22__1
MEI4__chr6	NM_001282136__chr6__1|NM_001322247__chr6__1
MEIG1__chr10	NM_001080836__chr10__1
MEIKIN__chr5	NM_001303622__chr5__1
MEIOB__chr16	NM_001163560__chr16__1|NM_152764__chr16__1
MEIOC__chr17	NM_001145080__chr17__1
MEIS1-AS2__chr2	NR_046625__chr2__1
MEIS1-AS3__chr2	NR_046438__chr2__1
MEIS1__chr2	NM_002398__chr2__1
MEIS2__chr15	NM_172315__chr15__1|NM_172316__chr15__1|NM_170674__chr15__1|NM_170675__chr15__1|NM_170676__chr15__1|NM_170677__chr15__1|NR_051953__chr15__1|NM_001220482__chr15__1|NM_002399__chr15__1
MEIS3P1__chr17	NR_002211__chr17__1
MEIS3__chr19	NM_001009813__chr19__1|NM_020160__chr19__1|NM_001301059__chr19__1
MELK__chr9	NM_001256685__chr9__1|NM_001256687__chr9__1|NM_001256688__chr9__1|NM_001256689__chr9__1|NM_001256690__chr9__1|NM_001256691__chr9__1|NM_001256692__chr9__1|NM_001256693__chr9__1|NM_014791__chr9__1|NR_046337__chr9__1
MELTF__chr3	NM_005929__chr3__1|NM_033316__chr3__1
MEMO1__chr2	NM_001137602__chr2__1|NM_015955__chr2__1|NR_126032__chr2__1|NM_001301833__chr2__1|NM_001301852__chr2__1|NR_126034__chr2__1
MEN1__chr11	NM_130800__chr11__1|NM_130801__chr11__1|NM_000244__chr11__1|NM_130799__chr11__1|NM_130802__chr11__1|NM_130803__chr11__1|NM_130804__chr11__1
MEOX1__chr17	NM_004527__chr17__1|NM_013999__chr17__1|NM_001040002__chr17__1
MEOX2-AS1__chr7	NR_110094__chr7__1
MEOX2__chr7	NM_005924__chr7__1
MEP1A__chr6	NM_005588__chr6__1
MEP1B__chr18	NM_001308171__chr18__1|NM_005925__chr18__1
MEPCE__chr7	NM_001194990__chr7__1|NM_001194991__chr7__1|NM_001194992__chr7__1|NM_019606__chr7__1
MEPE__chr4	NM_001184694__chr4__1|NM_001184695__chr4__1|NM_001184696__chr4__1|NM_001184697__chr4__1|NM_020203__chr4__1|NM_001291183__chr4__1
MERTK__chr2	NM_006343__chr2__1
MESDC1__chr15	NM_022566__chr15__1
MESDC2__chr15	NR_126327__chr15__1|NR_126328__chr15__1|NM_015154__chr15__1
MESP1__chr15	NM_018670__chr15__1
MESP2__chr15	NM_001039958__chr15__1
MESTIT1__chr7	NR_004382__chr7__1
MEST__chr7	NM_001253901__chr7__1|NM_177524__chr7__1|NM_001253902__chr7__1|NM_177525__chr7__1|NM_001253900__chr7__1|NM_002402__chr7__1
METAP1D__chr2	NM_001322278__chr2__1|NM_001322279__chr2__1|NM_199227__chr2__1|NR_136273__chr2__1|NR_136276__chr2__1
METAP1__chr4	NM_015143__chr4__1
METAP2__chr12	NM_001317182__chr12__1|NM_001317183__chr12__1|NM_006838__chr12__1|NR_133673__chr12__1
METRNL__chr17	NM_001004431__chr17__1
METRNL__chr17_KI270860v1_alt	NM_001004431__chr17_KI270860v1_alt__1
METRN__chr16	NM_024042__chr16__1
METTL10__chr10	NM_001304467__chr10__1|NM_001304468__chr10__1|NM_212554__chr10__1
METTL11B__chr1	NM_001136107__chr1__1
METTL12__chr11	NM_001043229__chr11__1
METTL13__chr1	NM_001007239__chr1__1|NM_014955__chr1__1|NM_015935__chr1__1
METTL14__chr4	NM_020961__chr4__1
METTL15__chr11	NM_001113528__chr11__1|NM_001297775__chr11__1|NM_152636__chr11__1
METTL16__chr17	NM_024086__chr17__1
METTL17__chr14	NM_001029991__chr14__1|NM_022734__chr14__1
METTL18__chr1	NM_001320201__chr1__1|NM_001320199__chr1__1|NM_033418__chr1__1
METTL1__chr12	NM_005371__chr12__1|NM_023033__chr12__1
METTL21A__chr2	NM_001308021__chr2__1|NM_145280__chr2__1|NM_001127395__chr2__1
METTL21B__chr12	NM_015433__chr12__1|NM_206914__chr12__1
METTL21C__chr13	NM_001010977__chr13__1
METTL21EP__chr13	NR_026965__chr13__1
METTL22__chr16	NM_024109__chr16__1|NR_134608__chr16__1
METTL23__chr17	NM_001080510__chr17__1|NM_001206983__chr17__1|NM_001206984__chr17__1|NM_001206985__chr17__1|NM_001206986__chr17__1|NM_001206987__chr17__1|NM_001302703__chr17__1|NM_001302704__chr17__1|NM_001302705__chr17__1|NR_038193__chr17__1
METTL24__chr6	NM_001123364__chr6__1
METTL25__chr12	NM_001319675__chr12__1|NM_032230__chr12__1
METTL2A__chr17	NM_181725__chr17__1
METTL2B__chr7	NM_018396__chr7__1
METTL3__chr14	NM_019852__chr14__1
METTL4__chr18	NM_001308401__chr18__1|NM_022840__chr18__1
METTL5__chr2	NM_001293186__chr2__1|NM_001293187__chr2__1|NM_014168__chr2__1
METTL6__chr3	NM_001301790__chr3__1|NM_001301792__chr3__1|NM_152396__chr3__1|NM_001301791__chr3__1
METTL7A__chr12	NM_014033__chr12__1
METTL7B__chr12	NM_152637__chr12__1
METTL8__chr2	NM_001321154__chr2__1|NM_001321155__chr2__1|NM_001321156__chr2__1|NM_001321159__chr2__1|NM_001321160__chr2__1|NM_001321162__chr2__1|NM_001321157__chr2__1|NM_001321158__chr2__1|NM_001321161__chr2__1|NM_024770__chr2__1|NR_135568__chr2__1
METTL9__chr16	NM_001288659__chr16__1|NM_001288660__chr16__1|NM_001077180__chr16__1|NM_016025__chr16__1
MET__chr7	NM_001324402__chr7__1|NM_000245__chr7__1|NM_001127500__chr7__1|NM_001324401__chr7__1
MEX3A__chr1	NM_001093725__chr1__1
MEX3B__chr15	NM_032246__chr15__1
MEX3C__chr18	NM_016626__chr18__1
MEX3D__chr19	NM_001174118__chr19__1|NM_203304__chr19__1
MFAP1__chr15	NM_005926__chr15__1
MFAP2__chr1	NM_001135248__chr1__1|NM_002403__chr1__1|NM_001135247__chr1__1|NM_017459__chr1__1
MFAP3L__chr4	NM_001009554__chr4__1|NM_001301648__chr4__1|NM_001301647__chr4__1|NM_021647__chr4__1|NR_125890__chr4__1
MFAP3__chr5	NM_001135037__chr5__1|NM_001242336__chr5__1|NM_005927__chr5__1
MFAP4__chr17	NM_001198695__chr17__1|NM_002404__chr17__1
MFAP5__chr12	NM_001297709__chr12__1|NM_001297710__chr12__1|NM_001297711__chr12__1|NM_001297712__chr12__1|NM_003480__chr12__1|NR_123733__chr12__1|NR_123734__chr12__1
MFF__chr2	NM_001277061__chr2__1|NM_001277062__chr2__1|NM_001277063__chr2__1|NM_001277064__chr2__1|NM_001277065__chr2__1|NM_001277066__chr2__1|NR_102266__chr2__1|NM_020194__chr2__1|NM_001277067__chr2__1|NM_001277068__chr2__1
MFGE8__chr15	NM_001310321__chr15__1|NM_001114614__chr15__1|NM_001310319__chr15__1|NM_001310320__chr15__1|NM_005928__chr15__1
MFHAS1__chr8	NM_004225__chr8__1
MFI2-AS1__chr3	NR_038285__chr3__1
MFN1__chr3	NM_033540__chr3__1
MFN2__chr1	NM_001127660__chr1__1|NM_014874__chr1__1
MFNG__chr22	NM_001166343__chr22__1|NM_002405__chr22__1|NR_029413__chr22__1
MFRP__chr11	NM_031433__chr11__1
MFSD10__chr4	NM_001120__chr4__1|NM_001146069__chr4__1
MFSD11__chr17	NM_001242534__chr17__1|NM_001242532__chr17__1|NM_001242533__chr17__1|NM_001242535__chr17__1|NM_001242536__chr17__1|NM_001242537__chr17__1|NM_024311__chr17__1
MFSD12__chr19	NM_001287529__chr19__1|NM_174983__chr19__1
MFSD13A__chr10	NM_024789__chr10__1
MFSD13B__chr16	NR_136333__chr16__1
MFSD14A__chr1	NM_033055__chr1__1
MFSD14B__chr9	NM_032558__chr9__1
MFSD14C__chr9	NR_002894__chr9__1
MFSD1__chr3	NM_001167903__chr3__1|NM_001289406__chr3__1|NM_001289407__chr3__1|NM_022736__chr3__1|NR_110328__chr3__1
MFSD2A__chr1	NM_001136493__chr1__1|NM_001287808__chr1__1|NM_001287809__chr1__1|NM_032793__chr1__1|NR_109896__chr1__1
MFSD2B__chr2	NM_001080473__chr2__1
MFSD3__chr8	NM_138431__chr8__1|NR_130120__chr8__1
MFSD4A__chr1	NM_181644__chr1__1
MFSD4B__chr6	NM_153369__chr6__1
MFSD5__chr12	NM_001170790__chr12__1|NM_032889__chr12__1
MFSD6L__chr17	NM_152599__chr17__1
MFSD6__chr2	NM_017694__chr2__1
MFSD7__chr4	NM_001294341__chr4__1|NM_001294342__chr4__1|NM_032219__chr4__1
MFSD8__chr4	NM_152778__chr4__1
MFSD9__chr2	NM_001322080__chr2__1|NM_001322081__chr2__1|NM_032718__chr2__1|NR_136173__chr2__1|NR_136174__chr2__1
MGAM2__chr7	NM_001293626__chr7__1
MGAM2__chr7_KI270803v1_alt	NM_001293626__chr7_KI270803v1_alt__1
MGAM__chr7	NM_004668__chr7__1
MGAM__chr7_KI270803v1_alt	NM_004668__chr7_KI270803v1_alt__1
MGARP__chr4	NM_032623__chr4__1
MGAT1__chr5	NM_002406__chr5__1|NM_001114619__chr5__1|NM_001114620__chr5__1|NM_001114618__chr5__1|NM_001114617__chr5__1
MGAT2__chr14	NM_002408__chr14__1
MGAT3-AS1__chr22	NR_126469__chr22__1
MGAT3__chr22	NM_002409__chr22__1|NM_001098270__chr22__1
MGAT4A__chr2	NM_012214__chr2__1|NM_001160154__chr2__1
MGAT4B__chr5	NM_054013__chr5__1|NM_014275__chr5__1
MGAT4C__chr12	NM_013244__chr12__1
MGAT4D__chr4	NM_001277353__chr4__1
MGAT4EP__chr1	NR_038135__chr1__1
MGAT5B__chr17	NM_001199172__chr17__1|NM_144677__chr17__1|NM_198955__chr17__1
MGAT5__chr2	NM_002410__chr2__1
MGA__chr15	NM_001080541__chr15__1|NM_001164273__chr15__1
MGC12916__chr17	NR_026880__chr17__1
MGC15885__chr15	NR_026897__chr15__1
MGC16025__chr2	NR_026664__chr2__1
MGC16275__chr17	NR_026914__chr17__1
MGC27345__chr7	NR_046216__chr7__1
MGC27382__chr1	NR_027310__chr1__1
MGC2889__chr3	NR_026877__chr3__1
MGC32805__chr5	NR_051996__chr5__1
MGC34796__chr1	NR_073400__chr1__1
MGC39584__chr21	NR_038377__chr21__1
MGC45922__chr19	NR_038359__chr19__1
MGC57346-CRHR1__chr17	NM_001256299__chr17__1|NM_001303016__chr17__1
MGC57346-CRHR1__chr17_GL000258v2_alt	NM_001303016__chr17_GL000258v2_alt__1|NM_001256299__chr17_GL000258v2_alt__1
MGC57346-CRHR1__chr17_KI270908v1_alt	NM_001256299__chr17_KI270908v1_alt__1|NM_001303016__chr17_KI270908v1_alt__1
MGC57346__chr17	NR_026680__chr17__1|NR_027295__chr17__1
MGC57346__chr17_GL000258v2_alt	NR_026680__chr17_GL000258v2_alt__1|NR_027295__chr17_GL000258v2_alt__1
MGC57346__chr17_KI270908v1_alt	NR_026680__chr17_KI270908v1_alt__1|NR_027295__chr17_KI270908v1_alt__1
MGC70870__chr17_GL000205v2_random	NR_003682__chr17_GL000205v2_random__1
MGC72080__chr7	NR_002822__chr7__1
MGEA5__chr10	NM_001142434__chr10__1|NM_012215__chr10__1
MGLL__chr3	NM_001256585__chr3__1|NM_007283__chr3__1|NM_001003794__chr3__1
MGME1__chr20	NM_001310338__chr20__1|NM_001310339__chr20__1|NM_052865__chr20__1
MGMT__chr10	NM_002412__chr10__1
MGP__chr12	NM_000900__chr12__1|NM_001190839__chr12__1
MGRN1__chr16	NM_001142289__chr16__1|NM_001142290__chr16__1|NM_001142291__chr16__1|NM_015246__chr16__1|NR_102267__chr16__1
MGST1__chr12	NM_145792__chr12__1|NM_001260511__chr12__1|NM_001260512__chr12__1|NM_020300__chr12__1|NR_048545__chr12__1|NM_001267598__chr12__1|NM_145791__chr12__1|NR_048547__chr12__1|NM_145764__chr12__1
MGST2__chr4	NM_001204366__chr4__1|NM_001204367__chr4__1|NM_001204368__chr4__1|NM_002413__chr4__1
MGST3__chr1	NM_004528__chr1__1
MHRT__chr14	NR_126491__chr14__1
MIA-RAB4B__chr19	NR_037775__chr19__1
MIA2__chr14	NM_054024__chr14__1
MIA3__chr1	NM_198551__chr1__1|NM_001300867__chr1__1|NM_001324062__chr1__1|NM_001324063__chr1__1|NM_001324064__chr1__1|NM_001324065__chr1__1
MIATNB__chr22	NR_110543__chr22__1
MIAT__chr22	NR_003491__chr22__1|NR_033319__chr22__1|NR_033320__chr22__1|NR_033321__chr22__1
MIA__chr19	NM_001202553__chr19__1|NM_006533__chr19__1
MIB1__chr18	NM_020774__chr18__1
MIB2__chr1	NM_001170686__chr1__1|NM_001170687__chr1__1|NM_001170688__chr1__1|NM_080875__chr1__1|NR_033183__chr1__1|NM_001170689__chr1__1
MICAL1__chr6	NM_001159291__chr6__1|NM_022765__chr6__1|NM_001286613__chr6__1
MICAL2__chr11	NM_001282668__chr11__1|NM_001282663__chr11__1|NM_014632__chr11__1|NM_001282664__chr11__1|NM_001282665__chr11__1|NM_001282666__chr11__1|NM_001282667__chr11__1
MICAL3__chr22	NM_015241__chr22__1|NM_001122731__chr22__1|NM_001136004__chr22__1
MICALCL__chr11	NM_032867__chr11__1
MICALL1__chr22	NM_033386__chr22__1
MICALL2__chr7	NM_182924__chr7__1
MICA__chr6	NM_001289152__chr6__1|NM_001289153__chr6__1|NM_001289154__chr6__1|NM_000247__chr6__1|NM_001177519__chr6__1
MICA__chr6_GL000251v2_alt	NM_001289152__chr6_GL000251v2_alt__1|NM_001289153__chr6_GL000251v2_alt__1|NM_001289154__chr6_GL000251v2_alt__1|NM_000247__chr6_GL000251v2_alt__1|NM_001177519__chr6_GL000251v2_alt__1
MICA__chr6_GL000253v2_alt	NM_001289152__chr6_GL000253v2_alt__1|NM_001289153__chr6_GL000253v2_alt__1|NM_001289154__chr6_GL000253v2_alt__1|NM_000247__chr6_GL000253v2_alt__1|NM_001177519__chr6_GL000253v2_alt__1
MICA__chr6_GL000255v2_alt	NM_001289152__chr6_GL000255v2_alt__1|NM_001289153__chr6_GL000255v2_alt__1|NM_001289154__chr6_GL000255v2_alt__1|NM_001177519__chr6_GL000255v2_alt__1|NM_000247__chr6_GL000255v2_alt__1
MICA__chr6_GL000256v2_alt	NM_001289152__chr6_GL000256v2_alt__1|NM_001289153__chr6_GL000256v2_alt__1|NM_001289154__chr6_GL000256v2_alt__1|NM_000247__chr6_GL000256v2_alt__1|NM_001177519__chr6_GL000256v2_alt__1
MICB__chr6	NM_001289160__chr6__1|NM_001289161__chr6__1|NM_005931__chr6__1
MICB__chr6_GL000250v2_alt	NM_001289160__chr6_GL000250v2_alt__1|NM_001289161__chr6_GL000250v2_alt__1|NM_005931__chr6_GL000250v2_alt__1
MICB__chr6_GL000251v2_alt	NM_001289160__chr6_GL000251v2_alt__1|NM_001289161__chr6_GL000251v2_alt__1|NM_005931__chr6_GL000251v2_alt__1
MICB__chr6_GL000252v2_alt	NM_001289160__chr6_GL000252v2_alt__1|NM_001289161__chr6_GL000252v2_alt__1|NM_005931__chr6_GL000252v2_alt__1
MICB__chr6_GL000253v2_alt	NM_001289160__chr6_GL000253v2_alt__1|NM_001289161__chr6_GL000253v2_alt__1|NM_005931__chr6_GL000253v2_alt__1
MICB__chr6_GL000254v2_alt	NM_001289160__chr6_GL000254v2_alt__1|NM_001289161__chr6_GL000254v2_alt__1|NM_005931__chr6_GL000254v2_alt__1
MICB__chr6_GL000255v2_alt	NM_001289160__chr6_GL000255v2_alt__1|NM_001289161__chr6_GL000255v2_alt__1|NM_005931__chr6_GL000255v2_alt__1
MICB__chr6_GL000256v2_alt	NM_001289160__chr6_GL000256v2_alt__1|NM_001289161__chr6_GL000256v2_alt__1|NM_005931__chr6_GL000256v2_alt__1
MICU1__chr10	NM_001195519__chr10__1|NM_001195518__chr10__1|NM_006077__chr10__1
MICU2__chr13	NM_152726__chr13__1
MICU3__chr8	NM_181723__chr8__1
MID1IP1-AS1__chrX	NR_046706__chrX__1
MID1IP1__chrX	NM_001098790__chrX__1|NM_001098791__chrX__1|NM_021242__chrX__1
MID1__chrX	NM_001193277__chrX__1|NM_000381__chrX__1|NM_033289__chrX__1|NM_001098624__chrX__1|NM_033290__chrX__1|NM_001193278__chrX__1|NM_001193279__chrX__1|NM_001193280__chrX__1|NM_001193281__chrX__1
MID2__chrX	NM_012216__chrX__1|NM_052817__chrX__1
MIDN__chr19	NM_177401__chr19__1
MIEF1__chr22	NM_001304564__chr22__1|NR_130790__chr22__1|NM_019008__chr22__1|NR_130789__chr22__1
MIEF2__chr17	NM_001144900__chr17__1|NM_139162__chr17__1|NM_148886__chr17__1
MIEN1__chr17	NM_032339__chr17__1
MIER1__chr1	NM_001077700__chr1__1|NM_001077702__chr1__1|NM_001077703__chr1__1|NM_001146110__chr1__1|NM_001146111__chr1__1|NM_001146112__chr1__1|NM_001146113__chr1__1|NM_020948__chr1__1|NM_001077701__chr1__1|NM_001077704__chr1__1|NM_001278215__chr1__1
MIER2__chr19	NM_017550__chr19__1
MIER3__chr5	NM_001297598__chr5__1|NM_001297599__chr5__1|NM_152622__chr5__1
MIF-AS1__chr22	NR_038911__chr22__1
MIF-AS1__chr22_KI270879v1_alt	NR_038911__chr22_KI270879v1_alt__1
MIF4GD__chr17	NM_001242500__chr17__1|NM_001242501__chr17__1|NM_001242498__chr17__1|NM_020679__chr17__1
MIF__chr22	NM_002415__chr22__1
MIF__chr22_KI270879v1_alt	NM_002415__chr22_KI270879v1_alt__1
MIIP__chr1	NM_021933__chr1__1
MILR1__chr17	NM_001085423__chr17__1|NM_001291316__chr17__1|NM_001291317__chr17__1
MIMT1__chr19	NR_024059__chr19__1
MINA__chr3	NM_001042533__chr3__1|NM_001261829__chr3__1|NM_032778__chr3__1|NM_153182__chr3__1
MINCR__chr8	NR_120682__chr8__1|NR_120683__chr8__1
MINK1__chr17	NM_001024937__chr17__1|NM_015716__chr17__1|NM_153827__chr17__1|NM_170663__chr17__1|NM_001321236__chr17__1
MINOS1-NBL1__chr1	NM_001204088__chr1__1|NM_001204089__chr1__1
MINOS1P1__chr13	NR_051980__chr13__1
MINOS1__chr1	NM_001032363__chr1__1|NM_001204082__chr1__1|NM_001204083__chr1__1|NR_033757__chr1__1|NR_033758__chr1__1
MINPP1__chr10	NM_001178117__chr10__1|NM_004897__chr10__1|NM_001178118__chr10__1
MIOS__chr7	NM_019005__chr7__1
MIOX__chr22	NM_017584__chr22__1
MIPEPP3__chr13	NR_046461__chr13__1|NR_038939__chr13__1
MIPEP__chr13	NM_005932__chr13__1
MIPOL1__chr14	NM_001195296__chr14__1|NM_001195297__chr14__1|NM_138731__chr14__1
MIP__chr12	NM_012064__chr12__1
MIR1-1HG__chr20	NM_001302812__chr20__1|NM_178463__chr20__1
MIR1-1__chr20	NR_029780__chr20__1
MIR1-2__chr18	NR_029662__chr18__1
MIR100HG__chr11	NR_024430__chr11__1
MIR100__chr11	NR_029515__chr11__1
MIR101-1__chr1	NR_029516__chr1__1
MIR101-2__chr9	NR_029836__chr9__1
MIR103A1__chr5	NR_029520__chr5__1
MIR103A2__chr20	NR_029519__chr20__1
MIR103B1__chr5	NR_031721__chr5__1
MIR103B2__chr20	NR_031722__chr20__1
MIR105-1__chrX	NR_029521__chrX__1
MIR105-2__chrX	NR_029522__chrX__1
MIR106A__chrX	NR_029523__chrX__1
MIR106B__chr7	NR_029831__chr7__1
MIR107__chr10	NR_029524__chr10__1
MIR10A__chr17	NR_029608__chr17__1
MIR10B__chr2	NR_029609__chr2__1
MIR1178__chr12	NR_031589__chr12__1
MIR1179__chr15	NR_031590__chr15__1
MIR1180__chr17	NR_031591__chr17__1
MIR1181__chr19	NR_031592__chr19__1
MIR1182__chr1	NR_031593__chr1__1
MIR1183__chr7	NR_031594__chr7__1
MIR1184-1__chrX	NR_036049__chrX__1|NR_036049__chrX__2|NR_036049__chrX__3
MIR1184-2__chrX	NR_036259__chrX__1|NR_036259__chrX__2|NR_036259__chrX__3
MIR1184-3__chrX	NR_036260__chrX__1|NR_036260__chrX__2|NR_036260__chrX__3
MIR1185-1__chr14	NR_031575__chr14__1
MIR1185-2__chr14	NR_031571__chr14__1
MIR1193__chr14	NR_036132__chr14__1
MIR1197__chr14	NR_031713__chr14__1
MIR1199__chr19	NR_106715__chr19__1
MIR1200__chr7	NR_031604__chr7__1
MIR1202__chr6	NR_031606__chr6__1
MIR1203__chr17	NR_031607__chr17__1
MIR1204__chr8	NR_031609__chr8__1
MIR1205__chr8	NR_031610__chr8__1
MIR1206__chr8	NR_031611__chr8__1
MIR1207__chr8	NR_031612__chr8__1
MIR1208__chr8	NR_031613__chr8__1
MIR1224__chr3	NR_030410__chr3__1
MIR1225__chr16	NR_030646__chr16__1
MIR1226__chr3	NR_031595__chr3__1
MIR1227__chr19	NR_031596__chr19__1
MIR1228__chr12	NR_031597__chr12__1
MIR1229__chr5	NR_031598__chr5__1
MIR122__chr18	NR_029667__chr18__1
MIR1231__chr1	NR_031599__chr1__1
MIR1233-1__chr15	NR_036050__chr15__1|NR_036050__chr15__2
MIR1233-2__chr15	NR_036261__chr15__1|NR_036261__chr15__2
MIR1234__chr8	NR_031600__chr8__1
MIR1236__chr6	NR_031601__chr6__1
MIR1236__chr6_GL000251v2_alt	NR_031601__chr6_GL000251v2_alt__1
MIR1236__chr6_GL000252v2_alt	NR_031601__chr6_GL000252v2_alt__1
MIR1236__chr6_GL000254v2_alt	NR_031601__chr6_GL000254v2_alt__1
MIR1236__chr6_GL000255v2_alt	NR_031601__chr6_GL000255v2_alt__1
MIR1236__chr6_GL000256v2_alt	NR_031601__chr6_GL000256v2_alt__1
MIR1237__chr11	NR_031602__chr11__1
MIR1238__chr19	NR_031603__chr19__1
MIR124-1__chr8	NR_029668__chr8__1
MIR124-2HG__chr8	NR_034102__chr8__1|NR_109792__chr8__1|NR_034103__chr8__1|NR_109793__chr8__1
MIR124-2__chr8	NR_029669__chr8__1
MIR124-3__chr20	NR_029670__chr20__1
MIR1243__chr4	NR_031641__chr4__1
MIR1244-1__chr12	NR_036052__chr12__1|NR_036052__chr12__2
MIR1244-1__chr2	NR_036052__chr2__1
MIR1244-1__chr5	NR_036052__chr5__1
MIR1244-2__chr12	NR_036262__chr12__1|NR_036262__chr12__2
MIR1244-2__chr2	NR_036262__chr2__1
MIR1244-2__chr5	NR_036262__chr5__1
MIR1244-3__chr12	NR_036263__chr12__1|NR_036263__chr12__2
MIR1244-3__chr2	NR_036263__chr2__1
MIR1244-3__chr5	NR_036263__chr5__1
MIR1244-4__chr12	NR_128710__chr12__1|NR_128710__chr12__2
MIR1244-4__chr2	NR_128710__chr2__1
MIR1244-4__chr5	NR_128710__chr5__1
MIR1245A__chr2	NR_031647__chr2__1
MIR1245B__chr2	NR_039947__chr2__1
MIR1246__chr2	NR_031648__chr2__1
MIR1247__chr14	NR_031649__chr14__1
MIR1248__chr3	NR_031650__chr3__1
MIR1249__chr22	NR_031651__chr22__1
MIR1250__chr17	NR_031652__chr17__1
MIR1251__chr12	NR_031653__chr12__1
MIR1252__chr12	NR_031700__chr12__1
MIR1253__chr17	NR_031654__chr17__1
MIR1254-1__chr10	NR_031655__chr10__1
MIR1254-2__chr10	NR_039606__chr10__1
MIR1255A__chr4	NR_031656__chr4__1
MIR1255B1__chr4	NR_031701__chr4__1
MIR1255B2__chr1	NR_031702__chr1__1
MIR1256__chr1	NR_031657__chr1__1
MIR1257__chr20	NR_031658__chr20__1
MIR1257__chr20_KI270869v1_alt	NR_031658__chr20_KI270869v1_alt__1
MIR1258__chr2	NR_031659__chr2__1
MIR125A__chr19	NR_029693__chr19__1
MIR125B1__chr11	NR_029671__chr11__1
MIR125B2__chr21	NR_029694__chr21__1
MIR1260A__chr14	NR_031661__chr14__1
MIR1260B__chr11	NR_036125__chr11__1
MIR1261__chr11	NR_031663__chr11__1
MIR1262__chr1	NR_031664__chr1__1
MIR1263__chr3	NR_031665__chr3__1
MIR1264__chrX	NR_031563__chrX__1
MIR1265__chr10	NR_031668__chr10__1
MIR1266__chr15	NR_031670__chr15__1
MIR1267__chr13	NR_031671__chr13__1
MIR1268A__chr15	NR_031672__chr15__1|NR_031672__chr15__2
MIR1268A__chr15_KI270905v1_alt	NR_031672__chr15_KI270905v1_alt__1
MIR1268A__chr17_KI270857v1_alt	NR_031672__chr17_KI270857v1_alt__1
MIR1268A__chr19	NR_031672__chr19__1
MIR1268A__chr9	NR_031672__chr9__1
MIR1268B__chr17	NR_039607__chr17__1
MIR1269A__chr4	NR_031673__chr4__1
MIR1269B__chr17	NR_039747__chr17__1
MIR126__chr9	NR_029695__chr9__1
MIR1270__chr19	NR_036053__chr19__1
MIR1271__chr5	NR_031569__chr5__1
MIR1272__chr15	NR_031674__chr15__1
MIR1273A__chr8	NR_031675__chr8__1
MIR1273C__chr6	NR_036100__chr6__1
MIR1273D__chr1	NR_036176__chr1__1
MIR1273E__chr17	NR_128706__chr17__1
MIR1273F__chr1	NR_039971__chr1__1
MIR1273G__chr1	NR_039972__chr1__1
MIR1273H__chr16	NR_106996__chr16__1
MIR1275__chr6	NR_031681__chr6__1
MIR1276__chr15	NR_031682__chr15__1
MIR1277__chrX	NR_031685__chrX__1
MIR1278__chr1	NR_031691__chr1__1
MIR1279__chr12	NR_031692__chr12__1
MIR127__chr14	NR_029696__chr14__1
MIR128-1__chr2	NR_029672__chr2__1
MIR128-2__chr3	NR_029824__chr3__1
MIR1281__chr22	NR_031694__chr22__1
MIR1282__chr15	NR_031695__chr15__1
MIR1283-1__chr19	NR_031573__chr19__1
MIR1283-2__chr19	NR_031696__chr19__1
MIR1284__chr3	NR_031697__chr3__1
MIR1285-1__chr7	NR_031616__chr7__1
MIR1285-2__chr2	NR_031617__chr2__1
MIR1286__chr22	NR_031618__chr22__1
MIR1287__chr10	NR_031619__chr10__1
MIR1288__chr17	NR_031698__chr17__1
MIR1289-1__chr20	NR_031620__chr20__1
MIR1289-2__chr5	NR_031621__chr5__1
MIR129-1__chr7	NR_029596__chr7__1
MIR129-2__chr11	NR_029697__chr11__1
MIR1290__chr1	NR_031622__chr1__1
MIR1291__chr12	NR_031623__chr12__1
MIR1292__chr20	NR_031699__chr20__1
MIR1293__chr12	NR_031625__chr12__1
MIR1294__chr5	NR_031626__chr5__1
MIR1295A__chr1	NR_031627__chr1__1
MIR1295B__chr1	NR_049854__chr1__1
MIR1296__chr10	NR_031566__chr10__1
MIR1297__chr13	NR_031628__chr13__1
MIR1298__chrX	NR_031578__chrX__1
MIR1299__chr9	NR_031629__chr9__1
MIR1301__chr2	NR_031570__chr2__1
MIR1302-10__chr1	NR_036267__chr1__1
MIR1302-10__chr15	NR_036267__chr15__1
MIR1302-10__chr19	NR_036267__chr19__1
MIR1302-10__chr9	NR_036267__chr9__1
MIR1302-11__chr1	NR_036268__chr1__1
